"Gender","Age","Driving_License","Region_Code","Previously_Insured","Vehicle_Age","Vehicle_Damage","Annual_Premium","Policy_Sales_Channel","Vintage","Response"
"Male",69,1,28,1,"1-2 Year","No",27526,26,279,0
"Female",23,1,28,0,"< 1 Year","Yes",41249,122,82,1
"Female",22,1,28,0,"< 1 Year","Yes",29583,124,60,1
"Female",31,1,30,0,"< 1 Year","Yes",2630,163,214,1
"Male",46,1,31,0,"1-2 Year","Yes",2630,163,33,1
"Male",43,1,29,0,"1-2 Year","Yes",36047,26,15,1
"Female",22,1,6,0,"< 1 Year","Yes",30841,152,108,0
"Female",41,1,50,1,"1-2 Year","Yes",27664,157,150,0
"Female",25,1,8,1,"< 1 Year","No",39660,152,85,0
"Male",53,1,28,0,"> 2 Years","Yes",33590,26,99,1
"Female",37,1,41,0,"1-2 Year","Yes",29564,124,128,1
"Male",24,1,8,0,"< 1 Year","No",49611,152,153,0
"Male",29,1,28,0,"1-2 Year","No",2630,156,147,0
"Male",24,1,8,1,"< 1 Year","No",29712,152,52,0
"Male",22,1,33,1,"< 1 Year","No",36422,152,167,0
"Male",21,1,35,0,"< 1 Year","Yes",23598,160,277,0
"Female",24,1,36,0,"< 1 Year","Yes",2630,151,110,0
"Male",36,1,28,0,"1-2 Year","Yes",61020,122,15,1
"Female",24,1,28,0,"< 1 Year","Yes",34067,152,209,1
"Female",78,1,28,0,"> 2 Years","Yes",52508,26,274,1
"Female",26,1,28,0,"< 1 Year","Yes",46461,152,290,1
"Male",21,1,47,0,"< 1 Year","Yes",29254,152,284,1
"Female",31,1,8,1,"< 1 Year","No",28381,152,54,0
"Male",48,1,38,0,"1-2 Year","Yes",34156,26,53,1
"Female",24,1,10,1,"< 1 Year","Yes",27340,152,220,1
"Female",72,1,41,0,"1-2 Year","Yes",42688,124,25,1
"Male",48,1,36,0,"1-2 Year","Yes",2630,157,261,1
"Female",56,1,2,0,"> 2 Years","Yes",33770,26,195,1
"Male",38,1,28,0,"1-2 Year","Yes",122906,124,173,1
"Male",70,1,29,0,"1-2 Year","Yes",33825,124,64,1
"Male",40,1,8,0,"1-2 Year","Yes",2630,26,65,0
"Female",20,1,28,1,"< 1 Year","No",42385,160,177,0
"Female",25,1,8,1,"< 1 Year","No",22565,152,249,0
"Male",51,1,28,0,"1-2 Year","Yes",57767,26,11,1
"Female",59,1,28,0,"> 2 Years","Yes",64910,122,196,1
"Female",24,1,33,0,"< 1 Year","Yes",2630,152,289,1
"Female",22,1,15,1,"< 1 Year","No",2630,152,101,0
"Male",21,1,32,1,"< 1 Year","Yes",32541,160,86,0
"Female",38,1,4,0,"1-2 Year","Yes",2630,156,120,0
"Male",42,1,28,0,"1-2 Year","Yes",40525,124,11,0
"Male",68,1,37,0,"> 2 Years","Yes",35068,128,28,0
"Male",36,1,28,0,"< 1 Year","Yes",29353,26,82,1
"Female",24,1,41,1,"< 1 Year","No",24324,152,11,0
"Female",29,1,11,1,"< 1 Year","No",2630,152,86,0
"Male",55,1,29,0,"1-2 Year","Yes",2630,26,94,1
"Male",68,1,15,0,"1-2 Year","Yes",2630,26,210,0
"Female",21,1,36,1,"< 1 Year","No",43063,160,42,0
"Male",34,1,28,0,"1-2 Year","Yes",35226,26,180,1
"Female",27,1,8,0,"< 1 Year","Yes",33838,152,43,0
"Female",46,1,46,0,"1-2 Year","Yes",32194,26,151,0
"Male",22,1,25,1,"< 1 Year","No",30964,152,242,0
"Male",36,1,39,0,"1-2 Year","Yes",2630,124,256,1
"Male",67,1,12,0,"1-2 Year","Yes",33453,124,142,1
"Male",22,1,27,0,"< 1 Year","Yes",23430,152,154,0
"Male",37,1,28,0,"1-2 Year","No",54798,13,15,0
"Female",62,1,48,1,"1-2 Year","No",2630,15,288,0
"Male",23,1,29,1,"< 1 Year","No",28126,152,149,0
"Male",28,1,41,0,"< 1 Year","Yes",2630,152,21,1
"Male",34,1,28,0,"1-2 Year","Yes",33397,26,22,1
"Male",65,1,28,0,"> 2 Years","Yes",2630,122,162,1
"Female",31,1,28,0,"< 1 Year","Yes",41642,124,67,1
"Male",68,1,28,0,"1-2 Year","Yes",33214,124,195,0
"Male",21,1,8,0,"< 1 Year","Yes",40538,160,51,0
"Male",41,1,20,0,"1-2 Year","Yes",2630,26,46,1
"Male",52,1,28,0,"1-2 Year","Yes",27394,124,36,0
"Female",30,1,30,1,"< 1 Year","No",27826,152,43,0
"Male",50,1,21,0,"1-2 Year","Yes",2630,124,265,0
"Female",22,1,2,0,"< 1 Year","Yes",20666,152,196,0
"Male",53,1,28,1,"1-2 Year","No",2630,26,102,0
"Male",43,1,15,0,"1-2 Year","Yes",35142,124,220,1
"Female",33,1,3,0,"< 1 Year","Yes",2630,157,60,1
"Female",24,1,41,1,"< 1 Year","No",35805,152,224,0
"Female",25,1,8,1,"< 1 Year","No",25309,152,262,0
"Male",30,1,47,1,"< 1 Year","No",26114,152,100,0
"Male",55,1,28,0,"> 2 Years","Yes",2630,26,165,1
"Male",48,1,7,0,"1-2 Year","Yes",2630,154,58,0
"Male",24,1,8,1,"< 1 Year","No",39271,152,56,0
"Female",28,1,44,0,"< 1 Year","Yes",2630,156,241,1
"Male",35,1,28,0,"1-2 Year","Yes",29007,154,27,1
"Male",59,1,28,0,"1-2 Year","Yes",27919,26,40,1
"Male",57,1,8,0,"1-2 Year","Yes",35001,26,226,1
"Female",47,1,28,0,"1-2 Year","Yes",2630,124,148,1
"Female",32,1,28,0,"< 1 Year","Yes",22769,152,258,0
"Male",47,1,33,0,"1-2 Year","Yes",32311,124,66,0
"Male",54,1,14,1,"1-2 Year","No",37127,26,241,0
"Female",25,1,34,0,"< 1 Year","Yes",36770,152,280,1
"Female",63,1,8,1,"1-2 Year","No",37822,124,62,0
"Male",33,1,28,1,"< 1 Year","Yes",42075,26,236,0
"Female",24,1,36,1,"< 1 Year","No",32871,160,232,0
"Male",57,1,28,0,"> 2 Years","Yes",50487,124,141,1
"Male",33,1,11,1,"< 1 Year","Yes",43942,26,261,0
"Male",52,1,28,0,"1-2 Year","Yes",26679,26,137,1
"Male",25,1,4,1,"< 1 Year","No",24671,152,187,0
"Male",43,1,3,0,"1-2 Year","Yes",34822,124,49,1
"Male",24,1,29,1,"< 1 Year","No",30174,152,84,0
"Male",57,1,28,0,"> 2 Years","Yes",47076,124,63,1
"Male",39,1,28,1,"1-2 Year","No",66275,124,21,0
"Female",25,1,28,0,"< 1 Year","Yes",39594,152,212,0
"Male",25,1,8,0,"< 1 Year","No",76699,152,182,0
"Male",29,1,7,1,"< 1 Year","No",27025,160,109,0
"Male",42,1,15,1,"1-2 Year","No",29392,124,140,0
"Male",26,1,28,0,"< 1 Year","No",44391,152,29,0
"Female",22,1,10,0,"< 1 Year","No",2630,152,35,0
"Female",38,1,28,0,"> 2 Years","Yes",35512,124,11,0
"Female",43,1,43,0,"1-2 Year","Yes",29429,124,102,1
"Male",31,1,46,0,"< 1 Year","Yes",25106,124,11,1
"Female",49,1,28,0,"1-2 Year","Yes",43416,26,241,0
"Female",23,1,29,1,"< 1 Year","No",35198,152,67,0
"Female",36,1,28,0,"1-2 Year","Yes",34165,26,119,1
"Male",43,1,45,0,"1-2 Year","Yes",32111,124,14,1
"Male",34,1,29,0,"1-2 Year","Yes",2630,124,81,1
"Male",43,1,43,0,"1-2 Year","Yes",2630,26,176,0
"Female",45,1,28,0,"> 2 Years","Yes",34563,124,259,1
"Male",47,1,28,0,"1-2 Year","Yes",35344,124,126,1
"Male",40,1,12,0,"1-2 Year","Yes",2630,26,230,0
"Female",69,1,46,1,"1-2 Year","No",46437,11,105,0
"Male",38,1,48,0,"1-2 Year","Yes",2630,124,296,1
"Male",24,1,29,1,"< 1 Year","No",49556,152,204,0
"Male",66,1,28,0,"1-2 Year","Yes",45970,124,297,0
"Male",51,1,46,0,"1-2 Year","Yes",23181,94,262,1
"Male",66,1,28,0,"> 2 Years","Yes",2630,26,65,1
"Male",24,1,36,0,"< 1 Year","Yes",38516,26,257,1
"Female",40,1,34,0,"1-2 Year","Yes",36823,124,231,1
"Female",21,1,6,0,"< 1 Year","Yes",27436,156,55,1
"Male",22,1,49,0,"< 1 Year","Yes",23487,160,32,1
"Female",29,1,19,0,"1-2 Year","Yes",2630,156,25,1
"Female",52,1,28,1,"1-2 Year","No",25546,122,91,0
"Male",38,1,28,0,"1-2 Year","Yes",29752,157,224,1
"Male",64,1,28,1,"1-2 Year","Yes",67333,26,33,0
"Female",39,1,36,0,"1-2 Year","Yes",41161,124,247,0
"Female",27,1,29,1,"< 1 Year","No",45832,152,31,0
"Female",58,1,28,0,"1-2 Year","Yes",37406,26,243,0
"Female",73,1,48,1,"1-2 Year","Yes",2630,15,153,0
"Male",65,1,28,0,"1-2 Year","Yes",2630,122,166,1
"Male",54,1,28,0,"> 2 Years","Yes",46818,26,181,1
"Female",51,1,23,0,"> 2 Years","Yes",19865,26,18,1
"Female",21,1,46,1,"< 1 Year","No",18238,152,162,0
"Male",58,1,8,0,"1-2 Year","No",35665,19,116,0
"Female",46,1,28,0,"1-2 Year","Yes",43947,26,288,1
"Male",30,1,30,1,"< 1 Year","No",36630,152,234,0
"Male",46,1,28,0,"1-2 Year","Yes",32787,124,47,1
"Male",26,1,24,0,"< 1 Year","Yes",19938,152,49,1
"Female",29,1,9,1,"< 1 Year","No",2630,152,185,0
"Male",66,1,9,0,"> 2 Years","Yes",36383,124,157,1
"Female",21,1,8,0,"< 1 Year","Yes",42317,152,158,0
"Male",26,1,6,1,"< 1 Year","No",26078,152,63,0
"Female",73,1,28,0,"1-2 Year","Yes",46043,122,102,1
"Female",64,1,1,0,"> 2 Years","Yes",2630,124,66,0
"Male",32,1,8,0,"< 1 Year","Yes",73044,124,253,1
"Male",25,1,18,1,"< 1 Year","No",27859,26,289,0
"Male",50,1,30,0,"> 2 Years","Yes",2630,124,167,0
"Female",39,1,28,0,"1-2 Year","Yes",23715,124,141,1
"Male",60,1,41,0,"1-2 Year","Yes",31890,26,125,1
"Male",21,1,41,0,"< 1 Year","Yes",32239,152,103,1
"Male",30,1,47,0,"< 1 Year","Yes",31787,152,262,0
"Male",63,1,3,1,"1-2 Year","Yes",43242,124,103,0
"Female",68,1,19,1,"1-2 Year","No",26091,124,131,0
"Female",24,1,41,1,"< 1 Year","No",33675,152,42,0
"Male",46,1,28,1,"1-2 Year","No",43344,26,17,0
"Male",46,1,28,1,"1-2 Year","No",41781,26,239,0
"Male",69,1,33,0,"1-2 Year","Yes",30182,26,198,0
"Female",27,1,28,0,"< 1 Year","Yes",51041,124,49,0
"Female",23,1,41,1,"< 1 Year","No",45059,152,34,0
"Male",64,1,15,0,"1-2 Year","Yes",39377,26,246,1
"Female",32,1,17,0,"< 1 Year","Yes",24216,163,154,1
"Female",23,1,15,0,"< 1 Year","Yes",2630,26,149,0
"Male",53,1,33,0,"1-2 Year","Yes",23436,26,269,1
"Female",35,1,28,0,"1-2 Year","Yes",36164,124,208,1
"Male",63,1,28,0,"1-2 Year","Yes",44956,26,27,0
"Male",47,1,18,0,"1-2 Year","Yes",40729,124,216,1
"Male",60,1,28,0,"1-2 Year","Yes",36679,26,181,1
"Male",54,1,28,0,"1-2 Year","Yes",54578,26,278,1
"Male",23,1,3,0,"< 1 Year","Yes",33886,152,292,0
"Male",44,1,28,0,"1-2 Year","Yes",46398,124,210,1
"Female",26,1,12,0,"< 1 Year","Yes",33082,152,134,1
"Male",49,1,30,0,"1-2 Year","Yes",2630,26,59,1
"Male",35,1,28,0,"1-2 Year","Yes",57322,124,202,1
"Male",63,1,28,0,"> 2 Years","Yes",34900,124,110,0
"Male",35,1,52,1,"1-2 Year","No",36758,152,200,0
"Male",41,1,41,0,"1-2 Year","Yes",19840,109,197,0
"Female",30,1,36,0,"1-2 Year","Yes",2630,26,150,1
"Male",48,1,28,1,"1-2 Year","No",49248,11,43,0
"Male",36,1,29,0,"1-2 Year","Yes",2630,124,41,1
"Male",67,1,28,0,"1-2 Year","Yes",45730,26,42,1
"Female",52,1,4,0,"1-2 Year","No",2630,156,154,0
"Male",51,1,28,0,"1-2 Year","Yes",35132,26,68,0
"Female",23,1,2,0,"< 1 Year","Yes",19865,152,16,1
"Male",26,1,41,1,"< 1 Year","No",32640,152,269,0
"Female",49,1,11,0,"1-2 Year","Yes",23316,26,27,1
"Female",63,1,28,0,"> 2 Years","Yes",32362,26,150,1
"Male",45,1,19,0,"1-2 Year","Yes",2630,26,61,1
"Male",37,1,41,0,"1-2 Year","Yes",44926,124,158,1
"Male",23,1,35,1,"< 1 Year","No",42736,152,16,0
"Male",65,1,28,0,"1-2 Year","No",66875,122,39,0
"Female",22,1,47,1,"< 1 Year","No",25710,152,88,0
"Male",78,1,29,1,"1-2 Year","No",2630,26,166,0
"Female",37,1,28,0,"> 2 Years","Yes",38339,124,203,1
"Female",37,1,15,0,"1-2 Year","Yes",25807,26,121,1
"Male",53,1,41,0,"> 2 Years","Yes",2630,12,180,1
"Female",40,1,28,0,"1-2 Year","Yes",25576,124,242,1
"Male",21,1,8,1,"< 1 Year","Yes",36688,160,189,0
"Male",22,1,21,1,"< 1 Year","No",33678,152,64,0
"Female",45,1,28,0,"1-2 Year","Yes",63009,124,145,1
"Female",44,1,28,0,"1-2 Year","Yes",27436,124,111,1
"Male",35,1,12,0,"1-2 Year","Yes",2630,152,109,1
"Male",51,1,37,0,"1-2 Year","Yes",31034,124,19,1
"Female",71,1,28,1,"1-2 Year","No",37863,26,120,0
"Female",43,1,28,0,"1-2 Year","Yes",66214,29,98,0
"Female",22,1,46,1,"< 1 Year","No",30371,152,133,0
"Male",48,1,8,0,"1-2 Year","Yes",27534,19,201,0
"Female",38,1,38,0,"1-2 Year","Yes",2630,124,227,1
"Male",25,1,9,1,"< 1 Year","No",20788,152,201,0
"Male",39,1,28,1,"1-2 Year","Yes",2630,124,170,0
"Male",32,1,28,0,"< 1 Year","Yes",63866,26,276,1
"Female",26,1,6,1,"< 1 Year","No",15297,152,248,0
"Male",57,1,28,0,"1-2 Year","Yes",2630,26,245,1
"Male",48,1,35,0,"1-2 Year","Yes",31187,124,76,1
"Male",21,1,41,0,"1-2 Year","Yes",26278,154,100,1
"Male",54,1,8,1,"1-2 Year","Yes",27393,124,110,0
"Female",34,1,28,0,"1-2 Year","Yes",42668,152,287,1
"Male",43,1,28,0,"1-2 Year","Yes",27084,124,245,0
"Male",23,1,50,0,"< 1 Year","Yes",28659,152,247,0
"Female",26,1,10,1,"< 1 Year","No",32463,152,182,0
"Male",44,1,8,1,"1-2 Year","No",28955,26,189,0
"Female",22,1,2,1,"< 1 Year","No",29655,152,255,0
"Female",25,1,15,1,"< 1 Year","No",24211,152,258,0
"Male",45,1,30,0,"1-2 Year","Yes",28394,163,261,1
"Female",52,1,28,1,"1-2 Year","No",32076,124,147,0
"Female",21,1,11,1,"< 1 Year","No",28140,152,89,0
"Male",54,1,28,0,"1-2 Year","Yes",50345,124,131,1
"Male",33,1,28,1,"1-2 Year","No",40010,124,279,0
"Male",51,1,8,0,"1-2 Year","Yes",2630,124,142,0
"Female",41,1,28,0,"1-2 Year","Yes",37708,124,78,1
"Male",26,1,46,0,"< 1 Year","Yes",2630,124,90,1
"Male",42,1,28,0,"> 2 Years","Yes",30427,26,170,0
"Female",57,1,28,0,"> 2 Years","Yes",46747,26,250,1
"Female",34,1,34,0,"1-2 Year","Yes",29513,26,46,1
"Female",28,1,28,0,"< 1 Year","Yes",38759,124,73,1
"Male",49,1,8,0,"1-2 Year","Yes",2630,25,165,0
"Male",21,1,8,0,"< 1 Year","Yes",32449,160,149,1
"Male",31,1,32,0,"< 1 Year","Yes",42679,124,165,0
"Male",27,1,12,0,"< 1 Year","Yes",38999,124,170,0
"Female",39,1,41,0,"1-2 Year","Yes",27380,124,54,1
"Male",75,1,41,0,"1-2 Year","Yes",40385,12,156,1
"Female",60,1,15,1,"1-2 Year","No",37771,152,151,0
"Female",45,1,22,0,"1-2 Year","Yes",35457,124,53,1
"Male",63,1,8,0,"> 2 Years","Yes",66581,26,278,1
"Male",37,1,30,1,"1-2 Year","No",23445,124,50,0
"Female",39,1,35,1,"1-2 Year","No",38346,26,31,0
"Female",33,1,13,0,"< 1 Year","Yes",23803,124,244,0
"Female",28,1,16,1,"< 1 Year","No",26809,152,122,0
"Female",52,1,41,0,"1-2 Year","Yes",2630,124,253,1
"Female",47,1,31,1,"1-2 Year","No",2630,26,131,0
"Female",25,1,35,0,"< 1 Year","Yes",2630,160,90,0
"Female",47,1,28,0,"1-2 Year","Yes",44820,122,170,1
"Female",21,1,33,1,"< 1 Year","No",29235,152,40,0
"Male",68,1,28,0,"> 2 Years","Yes",46998,26,127,1
"Male",71,1,33,0,"1-2 Year","Yes",37516,55,271,1
"Male",42,1,35,0,"1-2 Year","Yes",31560,26,276,0
"Female",23,1,28,1,"< 1 Year","No",44216,152,252,0
"Female",74,1,35,1,"1-2 Year","No",29852,124,56,0
"Male",25,1,25,1,"< 1 Year","No",30629,152,183,0
"Male",37,1,50,0,"1-2 Year","Yes",23651,124,23,0
"Male",37,1,2,0,"1-2 Year","Yes",27080,156,129,1
"Female",33,1,3,0,"< 1 Year","Yes",43901,124,34,1
"Male",21,1,46,0,"< 1 Year","No",45104,160,270,0
"Female",26,1,29,1,"< 1 Year","No",32401,152,159,0
"Male",54,1,28,0,"> 2 Years","Yes",37178,26,180,0
"Female",47,1,28,1,"1-2 Year","No",28455,26,206,0
"Male",22,1,6,1,"< 1 Year","No",46798,152,141,0
"Male",26,1,33,1,"< 1 Year","No",2630,152,182,0
"Male",50,1,29,0,"1-2 Year","Yes",32236,124,206,1
"Female",29,1,8,1,"< 1 Year","No",47439,152,106,0
"Male",56,1,47,1,"1-2 Year","No",35412,26,110,0
"Male",51,1,28,0,"1-2 Year","Yes",57187,26,285,1
"Male",28,1,3,1,"< 1 Year","No",31354,152,79,0
"Male",58,1,8,0,"1-2 Year","Yes",49878,124,186,0
"Male",49,1,4,1,"1-2 Year","No",35019,46,66,0
"Male",52,1,29,0,"1-2 Year","Yes",34930,26,153,0
"Female",21,1,46,1,"< 1 Year","No",31747,160,63,0
"Male",37,1,37,0,"1-2 Year","Yes",36055,124,102,0
"Female",64,1,41,1,"1-2 Year","No",57198,136,192,0
"Female",50,1,28,0,"1-2 Year","Yes",37334,124,127,1
"Male",34,1,9,0,"1-2 Year","Yes",2630,124,56,1
"Female",28,1,15,1,"< 1 Year","No",30592,151,218,0
"Male",61,1,27,0,"1-2 Year","Yes",2630,26,297,0
"Male",72,1,24,1,"1-2 Year","No",2630,7,187,0
"Female",22,1,50,1,"< 1 Year","No",29669,152,30,0
"Male",53,1,8,0,"1-2 Year","Yes",33263,26,161,1
"Male",42,1,28,0,"1-2 Year","Yes",2630,124,113,0
"Male",40,1,1,0,"1-2 Year","Yes",2630,124,197,0
"Male",33,1,12,1,"1-2 Year","Yes",44605,124,69,0
"Female",32,1,27,1,"< 1 Year","No",2630,152,73,0
"Female",21,1,36,0,"< 1 Year","No",32302,152,261,0
"Female",37,1,39,0,"1-2 Year","Yes",35675,124,15,0
"Female",47,1,28,0,"< 1 Year","Yes",2630,124,38,1
"Male",34,1,7,0,"1-2 Year","Yes",2630,155,20,0
"Male",56,1,29,0,"1-2 Year","Yes",68319,122,233,1
"Female",23,1,23,0,"< 1 Year","Yes",2630,150,207,0
"Female",75,1,28,0,"1-2 Year","Yes",56985,3,101,1
"Male",33,1,45,0,"< 1 Year","Yes",42910,26,54,1
"Female",29,1,32,0,"< 1 Year","Yes",29662,152,252,0
"Female",33,1,28,0,"1-2 Year","Yes",51015,55,28,0
"Male",22,1,46,0,"< 1 Year","No",2630,152,193,0
"Female",31,1,17,1,"1-2 Year","No",2630,26,98,0
"Male",71,1,28,0,"1-2 Year","Yes",49857,26,291,1
"Male",53,1,28,0,"1-2 Year","Yes",37174,55,159,1
"Female",40,1,28,0,"1-2 Year","Yes",26087,26,297,0
"Male",60,1,28,1,"1-2 Year","No",37106,26,191,0
"Female",57,1,28,0,"1-2 Year","Yes",38696,24,200,1
"Male",57,1,8,0,"1-2 Year","Yes",2630,26,195,1
"Female",25,1,28,1,"< 1 Year","No",70043,152,55,0
"Male",76,1,28,1,"1-2 Year","No",40263,23,177,0
"Female",23,1,23,0,"< 1 Year","Yes",28793,152,44,1
"Female",47,1,30,0,"1-2 Year","Yes",34811,152,243,0
"Female",30,1,30,0,"< 1 Year","Yes",28638,124,212,1
"Male",39,1,28,0,"1-2 Year","Yes",33436,51,11,1
"Male",24,1,15,0,"< 1 Year","Yes",40288,152,181,1
"Female",49,1,46,0,"1-2 Year","Yes",42823,124,24,1
"Male",48,1,32,0,"1-2 Year","Yes",29397,124,299,0
"Male",27,1,6,1,"< 1 Year","No",26554,152,24,0
"Female",70,1,28,0,"1-2 Year","Yes",33989,124,103,0
"Female",22,1,28,1,"< 1 Year","No",60124,153,55,0
"Female",21,1,43,0,"1-2 Year","Yes",33156,26,197,1
"Female",40,1,28,0,"1-2 Year","Yes",25847,26,140,1
"Male",46,1,28,0,"1-2 Year","Yes",37674,26,142,1
"Male",40,1,15,0,"1-2 Year","Yes",37252,124,205,0
"Male",25,1,22,1,"< 1 Year","No",29489,152,280,0
"Male",46,1,46,0,"1-2 Year","Yes",31069,124,77,1
"Female",21,1,46,1,"< 1 Year","No",23114,160,274,0
"Male",32,1,28,0,"< 1 Year","Yes",32822,124,221,1
"Female",37,1,28,0,"1-2 Year","Yes",47551,157,87,0
"Male",66,1,28,1,"1-2 Year","No",33178,26,202,0
"Female",34,1,2,0,"< 1 Year","Yes",30746,156,99,1
"Male",31,1,35,0,"< 1 Year","Yes",27878,154,227,1
"Female",55,1,28,1,"1-2 Year","No",29843,157,255,0
"Female",24,1,41,0,"< 1 Year","Yes",69025,152,253,1
"Female",44,1,50,0,"> 2 Years","Yes",34829,26,136,1
"Female",26,1,11,0,"< 1 Year","Yes",38440,124,245,1
"Male",53,1,35,0,"1-2 Year","Yes",29647,154,280,1
"Male",40,1,45,0,"1-2 Year","Yes",35231,26,122,1
"Male",27,1,8,0,"< 1 Year","No",41520,152,121,0
"Male",25,1,28,1,"< 1 Year","No",58057,152,74,0
"Male",36,1,28,1,"1-2 Year","No",2630,157,55,0
"Female",66,1,28,1,"1-2 Year","Yes",31694,55,73,0
"Male",33,1,39,0,"1-2 Year","Yes",29517,26,296,1
"Male",65,1,28,1,"1-2 Year","Yes",53464,124,110,0
"Female",24,1,41,1,"< 1 Year","No",42116,152,114,0
"Female",38,1,30,0,"1-2 Year","Yes",2630,124,66,1
"Female",25,1,47,1,"< 1 Year","No",39726,152,155,0
"Female",46,1,41,0,"1-2 Year","Yes",41806,157,21,1
"Male",52,1,28,0,"1-2 Year","Yes",56850,124,132,1
"Male",49,1,28,0,"1-2 Year","Yes",38322,124,111,1
"Male",39,1,28,0,"1-2 Year","No",2630,124,260,0
"Male",49,1,28,0,"> 2 Years","Yes",43024,26,82,0
"Female",23,1,30,1,"< 1 Year","No",31320,152,134,0
"Male",48,1,28,0,"1-2 Year","Yes",28140,124,143,1
"Female",42,1,15,1,"1-2 Year","No",28457,152,246,0
"Male",49,1,8,0,"1-2 Year","Yes",48438,7,73,1
"Male",58,1,46,0,"1-2 Year","Yes",37933,26,74,0
"Male",21,1,4,0,"1-2 Year","Yes",26230,124,122,1
"Male",48,1,8,0,"> 2 Years","Yes",38961,124,269,0
"Female",40,1,3,0,"1-2 Year","Yes",20643,156,35,1
"Male",39,1,41,0,"1-2 Year","Yes",36296,124,242,1
"Female",24,1,10,0,"< 1 Year","Yes",22627,152,41,0
"Male",74,1,24,0,"1-2 Year","Yes",27610,26,87,1
"Male",26,1,46,0,"1-2 Year","Yes",2630,124,49,1
"Female",24,1,41,0,"< 1 Year","Yes",26784,152,152,0
"Male",22,1,14,1,"< 1 Year","No",35275,152,114,0
"Male",48,1,35,1,"1-2 Year","No",39003,120,211,0
"Male",48,1,28,0,"1-2 Year","Yes",49570,124,195,1
"Male",31,1,21,0,"1-2 Year","Yes",2630,157,219,0
"Female",22,1,43,1,"< 1 Year","Yes",34527,152,127,0
"Male",49,1,28,0,"1-2 Year","Yes",42263,26,211,0
"Female",30,1,28,0,"1-2 Year","Yes",34602,26,232,1
"Female",48,1,31,1,"1-2 Year","No",2630,26,16,0
"Male",32,1,8,0,"< 1 Year","Yes",36844,154,284,0
"Female",54,1,46,0,"1-2 Year","Yes",26618,26,142,1
