"Gender","Age","Driving_License","Region_Code","Previously_Insured","Vehicle_Age","Vehicle_Damage","Annual_Premium","Policy_Sales_Channel","Vintage","Response"
"Male",48,1,9,0,"1-2 Year","Yes",2630,156,232,0
"Male",56,1,2,0,"1-2 Year","Yes",36649,124,12,0
"Male",42,1,28,0,"1-2 Year","Yes",35967,124,13,1
"Female",40,1,52,0,"1-2 Year","Yes",35164,26,57,1
"Female",39,1,35,1,"1-2 Year","No",22675,124,251,0
"Female",32,1,39,0,"< 1 Year","Yes",41285,124,293,0
"Male",39,1,41,0,"> 2 Years","Yes",44684,12,181,0
"Female",22,1,45,0,"< 1 Year","No",2630,152,211,0
"Female",46,1,28,1,"1-2 Year","No",47948,26,136,0
"Male",28,1,6,1,"< 1 Year","No",26256,152,47,0
"Female",28,1,21,1,"< 1 Year","No",29579,152,295,0
"Female",53,1,46,0,"1-2 Year","Yes",36180,124,62,0
"Female",52,1,28,0,"1-2 Year","Yes",49418,26,77,1
"Female",25,1,33,1,"< 1 Year","No",2630,152,66,0
"Female",27,1,27,0,"< 1 Year","No",23866,151,42,0
"Male",29,1,28,0,"1-2 Year","Yes",48622,155,97,1
"Female",70,1,28,0,"1-2 Year","Yes",61698,26,220,0
"Male",59,1,28,0,"> 2 Years","Yes",44702,124,254,1
"Male",31,1,41,0,"1-2 Year","Yes",24040,124,245,1
"Female",71,1,28,0,"1-2 Year","Yes",33550,26,49,0
"Male",46,1,36,0,"1-2 Year","No",28083,124,288,0
"Female",38,1,28,0,"1-2 Year","Yes",2630,160,89,0
"Female",31,1,8,1,"< 1 Year","No",36032,152,265,0
"Male",55,1,28,0,"1-2 Year","Yes",44720,124,23,1
"Male",23,1,28,0,"< 1 Year","Yes",32512,26,287,1
"Male",24,1,16,0,"< 1 Year","Yes",23932,152,189,1
"Female",40,1,28,0,"> 2 Years","Yes",44575,26,88,1
"Male",51,1,28,0,"1-2 Year","Yes",32504,124,124,0
"Male",54,1,8,0,"1-2 Year","Yes",22075,26,205,0
"Male",38,1,28,0,"1-2 Year","Yes",40211,26,126,1
"Male",30,1,28,0,"1-2 Year","Yes",42751,124,134,1
"Female",37,1,28,0,"> 2 Years","Yes",59266,26,220,1
"Male",30,1,11,1,"< 1 Year","No",27950,152,224,0
"Male",61,1,28,0,"1-2 Year","Yes",64035,26,210,1
"Female",21,1,48,1,"< 1 Year","No",2630,160,129,0
"Female",42,1,8,0,"1-2 Year","Yes",42070,124,95,1
"Female",52,1,28,1,"1-2 Year","No",2630,125,206,0
"Female",36,1,28,0,"1-2 Year","Yes",42846,124,289,1
"Female",41,1,46,0,"1-2 Year","Yes",17343,122,237,1
"Female",72,1,28,0,"1-2 Year","No",35758,124,107,0
"Male",24,1,8,1,"< 1 Year","No",36573,152,47,0
"Male",42,1,9,0,"1-2 Year","Yes",2630,156,30,0
"Female",28,1,32,0,"< 1 Year","Yes",2630,160,281,0
"Male",20,1,47,0,"< 1 Year","Yes",27561,160,23,1
"Male",27,1,28,1,"< 1 Year","No",26499,151,27,0
"Female",26,1,8,1,"< 1 Year","No",2630,152,135,0
"Female",49,1,29,0,"1-2 Year","Yes",40853,124,244,1
"Female",48,1,28,0,"1-2 Year","Yes",47131,26,165,1
"Female",50,1,46,0,"1-2 Year","Yes",29425,26,258,1
"Male",38,1,28,1,"1-2 Year","No",51385,124,289,0
"Male",37,1,28,0,"1-2 Year","Yes",42555,120,85,1
"Male",62,1,28,0,"1-2 Year","Yes",34848,122,186,1
"Female",45,1,28,0,"1-2 Year","Yes",21106,26,160,1
"Female",44,1,28,0,"1-2 Year","Yes",28857,124,247,1
"Male",22,1,8,1,"< 1 Year","No",36432,152,135,0
"Male",77,1,41,0,"1-2 Year","Yes",48076,12,31,0
"Female",24,1,36,0,"< 1 Year","Yes",34976,152,38,0
"Female",37,1,48,0,"1-2 Year","Yes",2630,124,151,1
"Female",36,1,8,0,"> 2 Years","Yes",33538,157,205,1
"Male",60,1,28,1,"1-2 Year","No",43598,26,193,0
"Male",24,1,15,0,"< 1 Year","Yes",37970,152,21,0
"Male",25,1,28,1,"< 1 Year","No",50685,152,95,0
"Female",59,1,11,0,"1-2 Year","Yes",43021,26,286,1
"Male",62,1,28,0,"1-2 Year","Yes",52101,26,158,1
"Female",23,1,47,1,"< 1 Year","No",25480,151,27,0
"Male",54,1,38,1,"1-2 Year","No",18651,26,76,0
"Female",31,1,41,0,"1-2 Year","Yes",2630,157,18,1
"Male",31,1,46,0,"1-2 Year","Yes",40292,157,32,1
"Female",41,1,28,0,"1-2 Year","Yes",41683,26,20,1
"Male",28,1,28,1,"< 1 Year","No",40998,152,80,0
"Male",44,1,33,1,"1-2 Year","No",39758,26,123,0
"Female",23,1,28,0,"< 1 Year","Yes",39874,124,89,0
"Male",38,1,46,0,"1-2 Year","Yes",34636,26,194,1
"Male",64,1,20,0,"> 2 Years","Yes",2630,26,38,0
"Male",26,1,23,0,"< 1 Year","Yes",23004,152,71,0
"Female",60,1,28,0,"1-2 Year","Yes",38136,26,76,0
"Female",21,1,28,0,"< 1 Year","Yes",40626,152,219,0
"Male",36,1,28,0,"1-2 Year","Yes",43803,124,38,1
"Male",37,1,28,0,"1-2 Year","Yes",38181,124,30,0
"Male",29,1,11,1,"< 1 Year","No",25914,152,119,0
"Female",53,1,41,1,"1-2 Year","No",47255,124,105,0
"Male",76,1,28,0,"> 2 Years","Yes",33468,26,195,0
"Male",45,1,34,0,"1-2 Year","Yes",2630,124,236,1
"Male",53,1,33,0,"1-2 Year","Yes",2630,163,126,1
"Male",64,1,28,0,"1-2 Year","Yes",37073,26,141,1
"Female",50,1,47,0,"1-2 Year","Yes",25901,26,180,0
"Male",45,1,36,0,"1-2 Year","Yes",37472,156,166,0
"Female",24,1,30,1,"< 1 Year","No",21424,152,121,0
"Male",63,1,41,0,"1-2 Year","Yes",33436,26,65,1
"Male",47,1,10,0,"1-2 Year","Yes",2630,26,51,1
"Female",38,1,28,0,"> 2 Years","Yes",46640,122,239,1
"Male",38,1,18,0,"1-2 Year","Yes",42358,124,24,1
"Male",31,1,14,0,"< 1 Year","Yes",2630,26,177,1
"Male",48,1,28,1,"1-2 Year","No",46709,124,14,0
"Male",46,1,35,0,"1-2 Year","Yes",33977,124,214,1
"Female",22,1,15,0,"< 1 Year","Yes",27296,152,209,1
"Male",24,1,28,0,"< 1 Year","Yes",33001,124,276,0
"Female",68,1,28,1,"1-2 Year","No",28651,26,42,0
"Male",65,1,6,0,"1-2 Year","Yes",42553,26,270,0
"Male",73,1,8,1,"1-2 Year","Yes",41277,124,196,0
"Male",63,1,28,0,"1-2 Year","Yes",37866,26,101,1
"Male",43,1,41,0,"1-2 Year","Yes",47335,12,131,1
"Male",50,1,28,0,"1-2 Year","Yes",41840,26,121,1
"Female",29,1,30,0,"< 1 Year","Yes",24530,26,172,1
"Female",23,1,39,1,"< 1 Year","No",27815,152,262,0
"Female",35,1,36,0,"1-2 Year","Yes",28614,124,118,1
"Female",46,1,15,0,"1-2 Year","Yes",2630,152,161,0
"Male",43,1,50,0,"1-2 Year","Yes",49720,8,264,0
"Female",49,1,47,0,"1-2 Year","Yes",2630,157,162,1
"Female",74,1,28,1,"1-2 Year","No",35313,26,265,0
"Female",55,1,46,0,"1-2 Year","Yes",33373,124,101,1
"Male",56,1,28,0,"1-2 Year","No",39753,35,250,0
"Male",45,1,28,0,"1-2 Year","No",29545,26,61,0
"Male",46,1,28,0,"> 2 Years","Yes",51901,26,260,1
"Male",39,1,28,0,"1-2 Year","Yes",33060,26,105,1
"Female",33,1,46,1,"< 1 Year","No",28232,152,63,0
"Male",25,1,28,0,"< 1 Year","Yes",62175,124,153,0
"Female",22,1,30,1,"< 1 Year","No",28904,152,231,0
"Male",41,1,11,0,"1-2 Year","Yes",27508,124,31,1
"Male",25,1,50,0,"< 1 Year","No",36261,152,65,0
"Female",40,1,28,0,"1-2 Year","Yes",42786,26,136,0
"Male",58,1,8,0,"1-2 Year","Yes",51034,26,138,0
"Female",50,1,28,0,"1-2 Year","No",79588,26,54,0
"Female",38,1,35,1,"1-2 Year","No",31170,124,109,0
"Male",53,0,28,0,"1-2 Year","Yes",54274,124,104,0
"Female",40,1,28,0,"1-2 Year","Yes",22919,124,148,0
"Female",60,1,48,1,"1-2 Year","No",2630,124,12,0
"Male",22,1,35,1,"< 1 Year","No",25933,152,198,0
"Female",23,1,28,0,"< 1 Year","Yes",56683,124,278,0
"Male",43,1,2,0,"1-2 Year","Yes",18822,124,128,1
"Male",57,1,28,0,"1-2 Year","Yes",35611,13,262,1
"Male",59,1,28,0,"1-2 Year","Yes",50673,26,53,1
"Male",47,1,28,0,"1-2 Year","Yes",47498,26,108,1
"Female",26,1,18,1,"< 1 Year","No",38701,152,234,0
"Female",40,1,34,0,"1-2 Year","Yes",36823,124,231,1
"Female",23,1,35,0,"< 1 Year","Yes",29863,156,44,1
"Female",33,1,28,1,"1-2 Year","Yes",50032,29,171,0
"Male",31,1,21,0,"1-2 Year","Yes",27967,124,258,1
"Female",45,1,8,0,"1-2 Year","Yes",29766,26,284,1
"Male",55,1,38,0,"1-2 Year","No",2630,157,228,1
"Male",60,1,33,1,"1-2 Year","No",28914,124,237,0
"Male",45,1,33,0,"1-2 Year","Yes",32438,124,187,1
"Female",43,1,28,0,"1-2 Year","Yes",26154,26,57,1
"Female",24,1,6,0,"< 1 Year","Yes",29104,152,116,0
"Male",23,1,36,0,"< 1 Year","No",44613,152,94,0
"Female",41,1,46,1,"1-2 Year","No",26638,26,197,0
"Male",60,1,11,0,"> 2 Years","Yes",27772,124,122,1
"Male",66,1,28,0,"> 2 Years","Yes",39173,122,130,1
"Female",57,1,28,0,"1-2 Year","Yes",35661,26,27,1
"Male",28,1,8,0,"< 1 Year","No",51009,152,257,0
"Male",25,1,28,0,"1-2 Year","Yes",35801,154,140,1
"Male",41,1,47,1,"1-2 Year","No",34652,124,21,0
"Male",61,1,28,1,"1-2 Year","No",33850,26,86,0
"Male",38,1,50,0,"1-2 Year","No",35341,124,250,0
"Male",41,1,48,0,"1-2 Year","Yes",2630,26,46,0
"Male",59,1,4,0,"1-2 Year","Yes",27560,124,215,1
"Female",29,1,15,1,"< 1 Year","No",32100,152,85,0
"Male",50,1,11,0,"1-2 Year","Yes",40443,124,164,0
"Female",22,1,32,0,"< 1 Year","Yes",28331,152,291,0
"Female",40,1,28,0,"1-2 Year","Yes",127493,26,184,1
"Female",50,1,11,0,"> 2 Years","Yes",29657,26,51,1
"Male",41,1,28,0,"1-2 Year","Yes",61913,26,181,1
"Male",56,1,28,0,"1-2 Year","Yes",38929,26,128,1
"Female",20,1,37,0,"< 1 Year","Yes",26200,160,57,0
"Female",39,1,47,0,"1-2 Year","Yes",34790,124,13,1
"Male",22,1,46,1,"< 1 Year","No",25132,152,131,0
"Male",28,1,12,1,"< 1 Year","No",29145,151,108,0
"Male",46,1,30,1,"1-2 Year","No",31836,152,72,0
"Female",26,1,2,0,"< 1 Year","Yes",55502,152,280,0
"Female",35,1,28,0,"1-2 Year","Yes",30674,124,66,1
"Female",37,1,28,0,"1-2 Year","Yes",2630,125,111,1
"Male",63,1,8,0,"1-2 Year","Yes",42999,26,96,1
"Male",21,1,17,0,"< 1 Year","Yes",31276,160,291,0
"Female",62,1,29,0,"1-2 Year","Yes",61667,26,197,1
"Female",40,1,28,0,"1-2 Year","Yes",30760,157,162,0
"Female",47,1,28,0,"> 2 Years","Yes",52801,26,63,1
"Female",68,1,46,0,"1-2 Year","Yes",43245,11,178,1
"Female",35,1,28,0,"1-2 Year","Yes",50521,125,126,1
"Female",24,1,35,0,"< 1 Year","Yes",31424,26,191,1
"Male",36,1,28,0,"1-2 Year","Yes",39207,124,42,1
"Female",67,1,28,0,"1-2 Year","Yes",34203,124,98,1
"Female",23,1,15,1,"< 1 Year","No",27508,152,77,0
"Female",72,1,28,0,"1-2 Year","Yes",48553,26,243,0
"Female",77,1,37,0,"1-2 Year","Yes",21960,26,112,0
"Female",22,1,28,0,"1-2 Year","Yes",2630,124,196,0
"Male",38,1,11,0,"1-2 Year","Yes",24277,26,219,1
"Male",52,1,8,0,"1-2 Year","Yes",45691,124,260,1
"Female",43,1,8,0,"1-2 Year","Yes",32405,124,268,1
"Female",31,1,8,0,"< 1 Year","Yes",52124,26,81,1
"Female",23,1,47,1,"< 1 Year","No",44247,152,263,0
"Female",26,1,37,0,"< 1 Year","Yes",30420,153,118,0
"Female",35,1,47,0,"1-2 Year","Yes",36150,156,266,1
"Male",37,1,28,0,"1-2 Year","Yes",52620,125,125,1
"Female",24,1,28,1,"< 1 Year","Yes",27365,152,167,0
"Female",42,1,28,0,"1-2 Year","Yes",48440,26,199,1
"Male",53,1,0,0,"1-2 Year","No",2630,26,246,0
"Male",71,1,28,1,"1-2 Year","No",60965,122,276,0
"Female",24,1,29,1,"< 1 Year","No",54714,152,55,0
"Male",22,1,29,0,"< 1 Year","Yes",2630,154,212,0
"Male",63,1,45,0,"1-2 Year","Yes",31104,26,198,0
"Male",29,1,33,1,"< 1 Year","No",2630,152,167,0
"Male",28,1,29,1,"< 1 Year","No",75957,152,267,0
"Male",35,1,29,0,"1-2 Year","Yes",33630,157,15,1
"Male",54,1,30,0,"1-2 Year","Yes",28120,26,56,1
"Female",40,1,48,0,"1-2 Year","Yes",2630,26,223,1
"Female",48,1,28,0,"1-2 Year","Yes",24240,122,130,1
"Male",39,1,4,0,"1-2 Year","Yes",2630,157,153,1
"Female",42,1,46,0,"1-2 Year","Yes",35024,26,197,1
"Male",24,1,15,0,"< 1 Year","Yes",29333,152,268,0
"Female",25,1,11,1,"< 1 Year","No",24264,152,64,0
"Male",44,1,28,0,"1-2 Year","Yes",35390,124,36,1
"Female",53,1,41,0,"1-2 Year","Yes",31563,124,182,1
"Female",27,1,11,0,"< 1 Year","Yes",28952,152,32,0
"Male",50,1,23,0,"1-2 Year","Yes",27773,124,282,1
"Male",30,1,28,0,"< 1 Year","Yes",38996,124,75,1
"Male",38,1,15,0,"1-2 Year","Yes",34116,152,263,1
"Male",46,1,47,0,"1-2 Year","Yes",24162,124,165,1
"Female",43,1,28,0,"1-2 Year","Yes",54583,26,171,0
"Female",41,1,2,1,"1-2 Year","No",29163,152,269,0
"Female",37,1,14,0,"1-2 Year","Yes",2630,156,183,1
"Male",45,1,28,0,"1-2 Year","Yes",54647,26,76,1
"Female",26,1,8,0,"< 1 Year","Yes",46263,152,178,1
"Male",23,1,15,1,"< 1 Year","No",29158,152,49,0
"Male",65,1,28,0,"> 2 Years","Yes",47029,26,143,1
"Male",73,1,8,0,"1-2 Year","Yes",45448,26,72,0
"Male",38,1,41,0,"1-2 Year","Yes",40547,26,173,1
"Female",20,1,6,0,"< 1 Year","No",2630,1,243,0
"Female",39,1,8,1,"1-2 Year","No",34735,152,131,0
"Female",32,1,28,0,"< 1 Year","Yes",27580,152,154,1
"Male",64,1,3,1,"1-2 Year","No",49753,26,162,0
"Male",40,1,37,1,"1-2 Year","No",34601,152,298,0
"Male",61,1,46,0,"1-2 Year","No",33498,26,195,0
"Male",45,1,24,0,"1-2 Year","Yes",2630,26,21,1
"Male",37,1,21,0,"1-2 Year","Yes",21991,31,216,0
"Male",38,1,28,0,"1-2 Year","Yes",2630,154,120,1
"Female",41,1,8,0,"1-2 Year","Yes",25656,8,129,1
"Female",34,1,39,0,"1-2 Year","Yes",28728,156,181,1
"Female",25,1,28,0,"1-2 Year","Yes",30520,124,106,0
"Female",41,1,28,0,"1-2 Year","Yes",28625,26,165,1
"Male",60,1,28,0,"1-2 Year","Yes",48568,124,186,0
"Male",36,1,23,0,"1-2 Year","Yes",24549,155,239,1
"Female",26,1,28,1,"< 1 Year","No",71513,152,255,0
"Male",39,1,30,1,"1-2 Year","No",37016,160,297,0
"Male",39,1,28,0,"1-2 Year","Yes",44792,124,85,1
"Female",24,1,10,0,"< 1 Year","Yes",22627,152,41,0
"Male",25,1,11,1,"< 1 Year","No",27285,152,236,0
"Female",25,1,49,1,"< 1 Year","No",33716,152,92,0
"Female",34,1,14,0,"1-2 Year","Yes",25619,124,272,1
"Male",54,1,28,0,"1-2 Year","No",36032,154,163,0
"Female",23,1,47,0,"< 1 Year","Yes",2630,152,293,0
"Male",46,1,28,0,"1-2 Year","Yes",33483,26,273,0
"Male",43,1,21,0,"1-2 Year","Yes",31614,26,254,1
"Male",39,1,46,0,"1-2 Year","Yes",37079,124,247,1
"Female",33,1,28,1,"1-2 Year","No",29282,154,273,1
"Male",66,1,28,0,"> 2 Years","Yes",33453,124,54,0
"Male",53,1,20,0,"> 2 Years","Yes",2630,156,101,0
"Female",42,1,28,1,"1-2 Year","No",70815,55,58,0
"Female",67,1,28,0,"1-2 Year","Yes",34516,26,51,1
"Male",58,1,19,0,"> 2 Years","Yes",2630,122,76,0
"Female",43,1,3,1,"1-2 Year","No",39428,152,195,0
"Female",39,1,8,0,"1-2 Year","Yes",53972,124,229,1
"Female",63,1,28,0,"1-2 Year","Yes",38231,55,223,1
"Female",24,1,15,1,"< 1 Year","No",31660,152,197,0
"Female",49,1,46,0,"1-2 Year","Yes",42823,124,24,1
"Female",68,1,7,0,"1-2 Year","Yes",28868,124,21,1
"Female",26,1,37,1,"< 1 Year","No",30990,152,259,0
"Female",34,1,30,0,"1-2 Year","Yes",33135,152,34,1
"Male",29,1,8,1,"< 1 Year","No",37206,152,33,0
"Female",53,1,28,0,"> 2 Years","Yes",2630,13,12,0
"Male",24,1,29,1,"< 1 Year","No",30795,152,111,0
"Female",37,1,28,0,"1-2 Year","Yes",37514,157,117,1
"Male",38,1,28,0,"1-2 Year","Yes",34129,26,175,1
"Male",27,1,35,0,"< 1 Year","Yes",2630,152,125,1
"Male",37,1,30,1,"1-2 Year","No",34522,152,152,0
"Male",41,1,3,0,"1-2 Year","Yes",2630,156,170,0
"Male",50,1,8,0,"1-2 Year","Yes",47106,26,206,1
"Male",33,1,28,0,"< 1 Year","Yes",30664,124,48,0
"Female",60,1,35,0,"1-2 Year","Yes",23177,26,56,0
"Male",25,1,17,1,"< 1 Year","No",42139,152,155,0
"Male",36,1,3,0,"1-2 Year","Yes",2630,155,237,1
"Male",44,1,14,0,"1-2 Year","Yes",24767,156,147,1
"Male",42,1,28,0,"1-2 Year","Yes",47619,124,93,0
"Male",47,1,46,0,"1-2 Year","Yes",22866,26,259,0
"Male",42,1,41,0,"1-2 Year","Yes",38237,31,180,1
"Female",21,1,47,0,"< 1 Year","Yes",43529,160,225,0
"Male",47,1,3,0,"1-2 Year","Yes",45290,124,45,1
"Female",36,1,31,0,"1-2 Year","No",2630,156,262,0
"Female",32,1,28,0,"< 1 Year","Yes",43786,24,197,0
"Female",48,1,46,0,"1-2 Year","No",28171,124,288,0
"Male",22,1,8,1,"< 1 Year","Yes",2630,152,64,1
"Male",39,1,28,0,"1-2 Year","Yes",35432,26,106,1
"Male",36,1,28,0,"1-2 Year","Yes",28813,26,231,1
"Female",45,1,28,0,"1-2 Year","Yes",33466,124,172,0
"Male",31,1,33,1,"< 1 Year","No",2630,152,125,0
"Male",24,1,8,1,"< 1 Year","No",28329,152,286,0
"Male",41,1,28,0,"1-2 Year","Yes",42419,26,112,1
"Male",54,1,29,0,"1-2 Year","Yes",2630,124,220,1
"Female",48,1,28,0,"1-2 Year","Yes",33774,26,246,1
"Female",40,1,28,0,"1-2 Year","Yes",27992,124,96,1
"Female",47,1,28,0,"1-2 Year","Yes",35180,26,42,1
"Female",31,1,10,0,"< 1 Year","Yes",2630,124,21,1
"Male",23,1,50,1,"< 1 Year","No",34225,152,139,0
"Male",37,1,28,1,"1-2 Year","No",26701,152,288,0
"Male",55,1,28,0,"1-2 Year","Yes",2630,124,65,1
"Male",22,1,45,0,"< 1 Year","Yes",32577,152,181,1
"Female",26,1,18,0,"< 1 Year","Yes",31146,152,259,1
"Male",29,1,47,0,"1-2 Year","Yes",2630,156,113,1
"Male",27,1,8,0,"< 1 Year","Yes",39049,154,99,1
"Male",40,1,39,0,"1-2 Year","Yes",34821,26,34,1
"Male",23,1,33,1,"< 1 Year","No",34920,152,268,0
"Female",24,1,9,0,"< 1 Year","Yes",42215,152,269,0
"Female",33,1,33,1,"< 1 Year","No",32880,152,85,0
"Male",41,1,28,0,"1-2 Year","Yes",39495,44,281,0
"Female",55,1,30,0,"1-2 Year","Yes",26148,152,294,0
"Male",22,1,30,1,"< 1 Year","No",26197,152,165,0
"Female",22,1,45,1,"< 1 Year","No",69335,152,38,0
"Female",25,1,39,1,"< 1 Year","No",2630,152,117,0
"Male",48,1,12,0,"1-2 Year","Yes",21174,26,81,0
"Male",41,1,1,0,"1-2 Year","Yes",2630,124,72,0
"Male",43,1,50,0,"1-2 Year","Yes",31367,8,18,1
"Male",59,1,28,0,"> 2 Years","Yes",2630,158,43,1
"Male",34,1,8,0,"1-2 Year","Yes",57435,150,168,1
"Male",30,1,30,1,"< 1 Year","No",25663,152,155,0
"Male",64,1,28,0,"> 2 Years","Yes",39246,122,85,1
"Female",43,1,28,0,"1-2 Year","Yes",42013,125,199,1
"Female",21,1,35,1,"< 1 Year","No",23196,160,145,0
"Male",37,1,29,0,"1-2 Year","Yes",29362,124,247,1
"Male",47,1,28,1,"1-2 Year","No",31978,122,65,0
"Male",35,1,48,0,"1-2 Year","Yes",2630,156,203,0
"Male",72,1,2,0,"1-2 Year","Yes",24939,26,291,0
"Male",40,1,28,0,"1-2 Year","Yes",39975,26,182,0
"Male",49,1,33,0,"1-2 Year","Yes",2630,124,245,0
"Female",52,1,8,0,"1-2 Year","Yes",34445,124,130,1
"Female",35,1,28,0,"1-2 Year","Yes",45640,163,178,1
"Male",58,1,11,0,"1-2 Year","Yes",2630,26,197,1
"Female",24,1,28,0,"< 1 Year","Yes",45692,124,94,1
"Male",38,1,33,0,"1-2 Year","Yes",32681,124,185,1
"Female",31,1,8,0,"< 1 Year","Yes",33541,160,29,1
"Male",46,1,28,0,"1-2 Year","Yes",53513,26,185,1
"Male",45,1,35,0,"1-2 Year","Yes",2630,124,272,1
"Male",45,1,28,0,"> 2 Years","Yes",33631,122,67,0
"Female",37,1,37,0,"1-2 Year","Yes",2630,157,111,1
"Male",45,1,50,0,"1-2 Year","Yes",29992,124,196,1
"Female",20,1,47,0,"< 1 Year","Yes",25380,160,171,0
"Male",46,1,28,0,"1-2 Year","Yes",34292,26,93,0
"Male",40,1,46,0,"1-2 Year","Yes",28913,26,42,1
"Female",22,1,2,1,"< 1 Year","No",36858,152,132,0
"Male",28,1,4,1,"< 1 Year","No",32057,152,37,0
"Female",24,1,10,1,"< 1 Year","No",26498,152,280,0
"Male",54,1,28,0,"> 2 Years","Yes",60653,26,77,0
"Female",53,1,28,1,"1-2 Year","No",47563,124,176,0
"Male",49,1,20,1,"1-2 Year","No",2630,156,233,0
"Female",26,1,28,1,"< 1 Year","No",37624,152,212,0
"Male",26,1,15,1,"< 1 Year","No",28436,152,216,0
"Male",34,1,45,1,"1-2 Year","No",20416,152,132,0
"Male",39,1,36,0,"1-2 Year","Yes",33267,124,167,0
"Female",29,1,18,1,"< 1 Year","No",27448,152,79,0
"Male",58,1,48,1,"1-2 Year","No",2630,26,292,0
"Male",77,1,28,1,"1-2 Year","No",2630,124,297,0
"Male",25,1,3,1,"< 1 Year","No",28984,152,230,0
"Female",20,1,47,1,"< 1 Year","No",22462,160,292,0
"Male",32,1,28,0,"< 1 Year","Yes",37358,124,75,1
"Male",79,1,28,0,"1-2 Year","Yes",35844,26,167,0
"Female",41,1,15,0,"1-2 Year","Yes",39506,156,39,0
"Female",21,1,28,0,"1-2 Year","Yes",2630,163,294,0
"Male",48,1,28,0,"1-2 Year","Yes",43057,26,189,0
"Female",51,1,28,0,"1-2 Year","Yes",41391,26,122,1
"Female",44,1,41,0,"1-2 Year","Yes",29472,124,90,1
"Male",58,1,28,0,"1-2 Year","Yes",40255,26,158,1
"Male",22,1,11,1,"< 1 Year","No",2630,152,299,0
"Male",54,1,50,0,"1-2 Year","Yes",38025,26,259,1
"Male",35,1,11,0,"1-2 Year","Yes",25522,124,71,1
"Female",58,1,28,0,"1-2 Year","No",55658,157,41,0
"Male",47,1,46,0,"1-2 Year","Yes",2630,156,123,0
"Male",47,1,46,0,"> 2 Years","Yes",2630,157,222,0
"Male",24,1,28,0,"< 1 Year","Yes",37957,152,151,0
"Female",43,1,46,0,"1-2 Year","Yes",23354,154,293,0
"Male",44,1,28,0,"1-2 Year","Yes",38275,26,266,0
"Female",37,1,28,0,"> 2 Years","Yes",42499,156,294,0
"Male",72,1,47,0,"1-2 Year","Yes",2630,16,233,0
"Male",39,1,19,0,"1-2 Year","Yes",2630,157,173,1
"Female",25,1,7,1,"< 1 Year","No",2630,152,40,0
"Female",27,1,28,0,"< 1 Year","Yes",65307,152,91,1
"Male",27,1,15,0,"< 1 Year","Yes",32884,151,271,0
"Female",25,1,14,1,"< 1 Year","No",31097,152,101,0
"Female",22,1,33,1,"< 1 Year","No",34760,152,210,0
"Male",44,1,39,0,"1-2 Year","Yes",26308,124,78,1
"Female",24,1,10,1,"< 1 Year","No",39666,152,282,0
"Male",45,1,41,1,"1-2 Year","No",30164,26,202,0
"Male",21,1,39,1,"< 1 Year","No",46116,160,207,0
